Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
fancontrol_reapply_script                                       77       1.38       1.56       1.79       1.58
transmission_watch_dir_enabled                                  77       1.21       1.56       2.49       1.60
mpd_config                                                      77       1.04       1.55       4.45       1.57
superdirt_startup_config                                        77       1.01       1.54       2.96       1.54
install_docs_rag                                                34       1.37       1.54       2.26       1.48
install_modern_steam_skin                                       77       1.42       1.53       1.93       1.53
install_proxypilot                                              24       1.44       1.52       2.10       1.55
install_rustnet                                                 28       1.38       1.52       2.29       1.45
floorp_ext_view_page_archive                                    77       1.36       1.52       4.35       1.39
mpdas_service_file                                              77       1.04       1.52       1.91       1.67
llama_embed_model                                               77       1.40       1.52       2.15       1.55
install_ssh_to_age                                              24       1.42       1.51       2.04       1.46
install_faker                                                   24       1.37       1.51       2.28       1.53
floorp_ext_betterdark                                           77       1.35       1.51       2.80       1.40
install_codex                                                   77       1.43       1.51       2.00       1.47
loki_daemon_reload                                              77       0.00       1.51     115.92       0.01
imapnotify_gmail_service                                         5       1.16       1.51       2.49       1.19
install_fira_code_nerd                                          77       1.39       1.50       2.19       1.74
mpv_script_thumbfast_lua                                        77       1.39       1.50       2.13       1.47
mpv_script_mpris_so                                             77       1.40       1.50       2.09       1.45
install_kora_icons                                              77       1.36       1.50       4.10       1.39
install_neptune_theme                                           77       1.39       1.50       1.89       1.48
install_oldschool_pc_fonts                                      77       1.38       1.49       2.12       1.52
install_blesh                                                   77       1.37       1.49       2.19       1.46
floorp_ext_surfingkeys_ff                                       77       1.37       1.49       2.15       1.48
floorp_ext_adaptive_tab_bar_colour                              77       1.35       1.49       3.48       1.41
install_essentia                                                77       1.40       1.49       2.00       1.48
install_code_rag                                                77       1.40       1.49       1.85       1.46
fancontrol-setup_service                                        77       1.37       1.48       2.16       1.43
install_rofi_systemd                                            77       1.37       1.48       2.09       1.85
install_xray                                                    24       1.38       1.48       1.72       1.49
install_zi                                                      77       1.38       1.48       2.06       1.41
install_throne                                                  24       1.39       1.48       1.68       1.46
superdirt_quark_install                                         77       1.40       1.48       1.75       1.45
install_openclaw                                                81       1.36       1.48       1.85       1.41
mbsync_gmail_timer                                               5       1.16       1.48       2.69       1.18
plugdev_group                                                   78       1.30       1.47       2.77       1.56
sudo_timeout                                                    78       0.99       1.47       3.03       1.51
install_httpstat                                                77       1.36       1.47       2.13       1.47
install_sidecar                                                 24       1.39       1.47       1.60       1.47
mpv_script_sponsorblock_lua                                     77       1.36       1.47       2.06       1.54
mpv_script_quality_menu_lua                                     77       1.36       1.47       2.03       1.46
mpv_script_cutter_lua                                           77       1.37       1.47       2.13       1.44
mpv_plugin_uosc                                                 77       1.37       1.47       2.09       1.47
install_nyxt                                                    24       1.39       1.47       1.69       1.55
install_matugen_themes                                          77       1.38       1.47       1.71       1.41
